0_6jq5_A_S000001,-304.0,96.1,14.78
0_6jq5_A_S000002,-316.8,69.7,24.59
0_6jq5_A_S000003,-313.0,50.1,20.20
0_6jq5_A_S000004,-336.3,46.6,14.71
0_6jq5_A_S000005,-317.7,73.9,16.71
0_6jq5_A_S000006,-322.7,43.9,25.99
0_6jq5_A_S000007,-326.1,51.8,14.41
0_6jq5_A_S000008,-325.6,59.1,20.03
0_6jq5_A_S000009,-208.6,152.6,24.88
0_6jq5_A_S000010,-330.4,44.7,26.83
0_6jq5_A_S000011,-319.6,52.6,20.22
0_6jq5_A_S000012,-350.1,39.8,24.90
0_6jq5_A_S000013,-326.3,63.6,23.82
0_6jq5_A_S000014,-359.5,41.9,20.47
0_6jq5_A_S000015,-321.3,84.5,25.51
0_6jq5_A_S000016,-348.7,39.6,22.51
0_6jq5_A_S000017,-327.0,57.1,19.37
0_6jq5_A_S000018,-323.7,50.3,23.57
0_6jq5_A_S000019,-322.7,65.5,17.52
0_6jq5_A_S000020,-340.7,73.6,17.74
1_6jq5_A_S000001,-323.6,75.7,26.35
1_6jq5_A_S000002,-340.5,63.5,20.25
1_6jq5_A_S000003,-324.0,57.6,23.58
1_6jq5_A_S000004,-337.4,43.8,22.80
1_6jq5_A_S000005,-343.7,63.2,22.40
1_6jq5_A_S000006,-346.3,43.5,28.44
1_6jq5_A_S000007,-339.9,49.1,27.47
1_6jq5_A_S000008,-342.2,50.7,27.25
1_6jq5_A_S000009,-364.6,50.8,22.66
1_6jq5_A_S000010,-301.9,66.4,21.86
1_6jq5_A_S000011,-332.1,47.0,18.45
1_6jq5_A_S000012,-338.4,85.7,23.66
1_6jq5_A_S000013,-332.8,60.4,15.72
1_6jq5_A_S000014,-282.9,59.4,12.30
1_6jq5_A_S000015,-303.5,75.3,18.31
1_6jq5_A_S000016,-383.8,38.4,15.50
1_6jq5_A_S000017,-336.9,46.0,18.73
1_6jq5_A_S000018,-262.7,96.6,23.85
1_6jq5_A_S000019,-323.8,90.7,20.75
1_6jq5_A_S000020,-341.2,72.6,26.06
2_6jq5_A_S000001,-236.3,109.1,14.68
2_6jq5_A_S000002,-310.1,59.3,14.76
2_6jq5_A_S000003,-390.3,35.8,15.03
2_6jq5_A_S000004,-331.7,67.6,17.17
2_6jq5_A_S000005,-317.1,76.7,21.23
2_6jq5_A_S000006,-364.3,51.9,16.68
2_6jq5_A_S000007,-360.2,73.3,12.43
2_6jq5_A_S000008,-317.3,58.6,15.27
2_6jq5_A_S000009,-328.7,68.5,16.26
2_6jq5_A_S000010,-317.6,55.7,15.15
2_6jq5_A_S000011,-350.2,62.9,25.53
